# Field        RA              Dec               RAx           DECx          GAL_LONG             GAL_LAT                USNO     Hari    Hari_dat   ugr     ugr_dat    comment      started   finished   observe   DR1-red   DR1-blue   ESO-red   ESO-blue   DR2-red   DR2-blue  
  vphas_0001   97.2192513369   0.0               06:28:52.62   +00:00:00.0   210.3534750868879    -5.01804343538825      27543    true    20141201   true    20141217   ""           true      true       true      false     false      false     false      ""        ""        
  vphas_0002   98.1818181818   0.0               06:32:43.64   +00:00:00.0   210.7952274032597    -4.162097613447453     29999    true    20140106   true    20141227   ""           true      true       true      false     false      true      false      false     ""        
  vphas_0003   99.1443850267   0.0               06:36:34.65   +00:00:00.0   211.23602008609907   -3.305905783504482     26290    true    20140106   true    20141227   ""           true      true       true      false     false      true      false      false     ""        
  vphas_0004   100.106951872   0.0               06:40:25.67   +00:00:00.0   211.67605232783458   -2.4495190595653815    32460    true    20120113   true    20111230   std          true      true       true      true      true       true      true       true      true      
  vphas_0005   101.069518717   0.0               06:44:16.68   +00:00:00.0   212.1155221352963    -1.5929882180754926    36080    true    20120113   true    20111230   "std,Dol 25" true      true       true      true      true       true      true       true      true      
  vphas_0006   102.032085561   0.0               06:48:07.70   +00:00:00.0   212.5546266398745    -0.7363637855698186    33396    true    20130214   true    20141224   ""           true      true       true      false     false      true      false      true      ""        
  vphas_0007   102.994652406   0.0               06:51:58.72   +00:00:00.0   212.99356240607966   0.12030387591887447    39766    true    20131130   true    20120225   "2 tries"    true      true       true      false     true       true      true       false     true      
  vphas_0008   103.957219251   0.0               06:55:49.73   +00:00:00.0   213.43252573476516   0.9769644765064001     35260    true    20131130   true    20120225   "2 tries"    true      true       true      false     true       true      true       false     true      
  vphas_0009   104.919786096   0.0               06:59:40.75   +00:00:00.0   213.87171297007836   1.8335677149797571     36380    true    20131130   true    20120225   "B34  Ha, D" true      true       true      false     true       true      true       false     true      
  vphas_0010   105.882352941   0.0               07:03:31.76   +00:00:00.0   214.31132080424405   2.6900631908306765     35078    true    20130215   true    20141223   "Ha, D"      true      true       true      false     false      true      false      true      ""        
  vphas_0011   106.844919786   0.0               07:07:22.78   +00:00:00.0   214.75154658372819   3.5464003168544025     35449    true    20130215   true    20141223   ""           true      true       true      false     false      true      false      true      ""        
  vphas_0012   107.807486631   0.0               07:11:13.80   +00:00:00.0   215.19258861713843   4.402528231138161      37269    true    20130215   true    20141223   ""           true      true       true      false     false      true      false      true      ""        
  vphas_0013   277.219251337   0.0               18:28:52.62   -00:00:00.0   30.35347508693382    5.018043435299385      23015    false   ""         false   ""         ""           false     false      true      false     false      false     false      ""        ""        
  vphas_0014   278.181818182   0.0               18:32:43.64   -00:00:00.0   30.79522740335136    4.1620976132696015     33110    false   ""         false   ""         ""           false     false      true      false     false      false     false      ""        ""        
  vphas_0015   279.144385027   0.0               18:36:34.65   -00:00:00.0   31.23602008623635    3.3059057832375833     21406    false   ""         false   ""         ""           false     false      true      false     false      false     false      ""        ""        
  vphas_0016   280.106951872   0.0               18:40:25.67   -00:00:00.0   31.67605232783454    2.4495190595654224     27987    false   ""         false   ""         ""           false     false      true      false     false      false     false      ""        ""        
  vphas_0017   281.069518717   0.0               18:44:16.68   -00:00:00.0   32.11552213529629    1.5929882180754658     46719    false   ""         false   ""         ""           false     false      true      false     false      false     false      ""        ""        
  vphas_0018   282.032085561   0.0               18:48:07.70   -00:00:00.0   32.55462663987449    0.7363637855698821     39022    true    20130716   true    20130701   ""           true      true       true      false     false      true      true       true      true      
  vphas_0019   282.994652406   0.0               18:51:58.72   -00:00:00.0   32.993562406079675   -0.12030387591888082   109764   true    20120520   true    20120527   ""           true      true       true      true      true       true      true       true      true      
  vphas_0020   283.957219251   0.0               18:55:49.73   -00:00:00.0   33.43252573476518    -0.9769644765064065    136178   true    20120520   true    20120527   ""           true      true       true      true      true       true      true       true      true      
  vphas_0021   284.919786096   0.0               18:59:40.75   -00:00:00.0   33.87171297007836    -1.833567714979728     109764   true    20130602   true    20120429   (B81)        true      true       true      true      true       true      true       true      true      
  vphas_0022   285.882352941   0.0               19:03:31.76   -00:00:00.0   34.311320804244076   -2.690063190830689     158581   true    20130602   true    20120429   (B81)        true      true       true      true      true       true      true       true      true      
  vphas_0023   286.844919786   0.0               19:07:22.78   -00:00:00.0   34.751546583728185   -3.5464003168543616    171556   false   ""         false   ""         ""           false     false      true      false     false      false     false      ""        ""        
  vphas_0024   287.807486631   0.0               19:11:13.80   -00:00:00.0   35.1925886171384     -4.402528231138118     147933   false   ""         false   ""         ""           false     false      true      false     false      false     false      ""        ""        
